name
Abdomen Aspirate
Abdomen Fluid
Abdomen Skin
Abdomen Swab
Abdomen Tissue
ABDOMINAL DRAIN
ABDOMINAL DRAIN FLUID
ABDOMINAL DRAIN SWAB
ABDOMINAL WOUND
ABDOMINAL WOUND SWAB
Abscess
Amniotic Fluid
AMPUTATED STUMP TISSUE
Aorta
Aortic Valve
APPENDICULAR ABSCESS
Appendix
Aqueous humor
Arterial Line
Arterial Line tip
Artery
Ascitic Fluid
Aspirate
ASPIRATE SWAB
AXILLARY ABSCESS
AXILLARY ABSCESS SWAB
Axillary Swab
AXILLARY TISSUE
BACK ABSCESS
BAL
BAL BRONCHOSCOPE
BAL Fluid
Bartholin's Cyst
BARTHOLIN'S GLAND
BED SORE SWAB
BEDSORE SWAB
Bile
BILE FLUID
BILE SWAB
BILIARY STENT
Biopsy
biopsy
BIOPSY SWAB
Blood
Blood Arterial
Blood Arterial Line
Blood Capillary
Blood central line
BLOOD CLOT
Blood Culture
Blood peripheral
Blood Venous
Body Fluid
Body Fluid Abdomen
Body Fluid Amniotic
Body Fluid Aspiration
Body Fluid CSF
Body Fluid Joint
Body Fluid PANCREATIC
Body Fluid PANCREATIC PSEUDO CYST
Body Fluid PARASPINAL
Body Fluid Pericardial
Body Fluid Peritoneal
Body Fluid Pleural
Boil
Bone Marrow
BONE MARROW ASPIRATE
BONE SWAB
Brain Cyst Fluid
BREAST ABSCESS
Breast Aspirate
Breast Fluid
Bronchalveolar Lavage
Bronchial Aspirate
Bronchial Biopsy
Bronchial Brush
Bronchial Brushing
Bronchial Lavage
Bronchial Wash
Bronchial Washings
Broncho Alveolar Lavage
Bronchoalveolar Lavage
Bronchoscopy
Bronchoscopy brush catheter
Buttock Abscess
CAPD CATHETER
CAPD Fluid
Catheter
CATHETER ARTERIAL
Catheter central
Catheter Ext Jugular
Catheter Femoral
Catheter Indwelling Foley
Catheter Int Jugular
Catheter PICC
Catheter Straight In and Out
Catheter Subclavian
Catheter Suprapubic
Catheter Tip
CATHETER UMBILICAL
Catheter vascular
CBD STENT
Central Line
CENTRAL LINE TIP
